2026-04-08T12:22:23.204205762Z [inf]  ✅ RECOVERY_MIN_SCORE=5
2026-04-08T13:48:03.347104479Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:48:03.347113139Z [inf]  🔎 SETUPCHK localLow=84.0300 ema50=84.4892 washout=1 reclaimed=0 rsiUp=1
2026-04-08T13:48:03.347119049Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:49:23.395361800Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:49:23.395365480Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:49:23.395369040Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:49:23.395372320Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:49:53.403295799Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=350 px=84.37
2026-04-08T13:51:13.141368789Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.42 time=2026-04-08T13:51:03.508Z
2026-04-08T13:51:13.141376318Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:51:13.141381458Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.42 ema8=84.3376235874388 ema18=84.41953149548141 ema50=84.48650820278291 rsi=49.08458694444303 atr=0.2270210187755923 atrPct=0.268918524965165 adx=20.285146062405342 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=0.1304708812714974 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:51:13.141385298Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:51:13.141388428Z [inf]  🔎 SETUPCHK localLow=84.0300 ema50=84.4865 washout=1 reclaimed=1 rsiUp=1
2026-04-08T13:51:13.141392218Z [inf]  🚫 shallow recovery rejected | contradictory internals oiD=-1 cvd=-1
2026-04-08T13:51:13.141395308Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:52:23.217833755Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:52:23.217837725Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:52:23.217841245Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:52:23.217844815Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:54:13.714668723Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:54:13.714680002Z [inf]  🔎 SETUPCHK localLow=84.0300 ema50=84.4725 washout=1 reclaimed=0 rsiUp=0
2026-04-08T13:54:13.714685482Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:54:13.714707882Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:54:13.714713552Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.13 ema8=84.2914850124524 ema18=84.38905449595705 ema50=84.47252748894829 rsi=41.64876126345646 atr=0.2329480888630501 atrPct=0.2768906321919056 adx=19.546996645802345 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=1 priceDropPct=-0.3435204927742315 patternAReady=0 patternAWatch=1 rayFresh=0 fwoFresh=0
2026-04-08T13:54:17.754303150Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.14 time=2026-04-08T13:54:17.751Z
2026-04-08T13:55:27.485128895Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:55:27.485134275Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:55:27.485140155Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:55:27.485146095Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:57:07.528147840Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T13:57:07.528154980Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.19 ema8=84.26893278746297 ema18=84.36810139111947 ema50=84.46144797957777 rsi=43.55402446005947 atr=0.2291660825156889 atrPct=0.2722010719986802 adx=19.256971651836654 oiTrend=0 oiDeltaBias=0 cvdTrend=1 liqClusterBelow=1 priceDropPct=0.0713181980268659 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T13:57:07.528159930Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T13:57:07.528163720Z [inf]  🔎 SETUPCHK localLow=84.0300 ema50=84.4614 washout=1 reclaimed=0 rsiUp=1
2026-04-08T13:57:07.528167920Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T13:57:37.538645027Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.2 time=2026-04-08T13:57:31.820Z
2026-04-08T13:58:27.658233749Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T13:58:27.658238379Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T13:58:27.658274458Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T13:58:27.658281788Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:00:17.430200155Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:00:17.430204915Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.05 ema8=84.22028105691564 ema18=84.33461703415952 ema50=84.44531276469236 rsi=40.25148318000039 atr=0.2335113623359963 atrPct=0.2778243454324762 adx=19.491319226594282 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=1 priceDropPct=-0.1662905333174968 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T14:00:17.430208035Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T14:00:17.430211185Z [inf]  🔎 SETUPCHK localLow=84.0300 ema50=84.4453 washout=0 reclaimed=0 rsiUp=0
2026-04-08T14:00:17.430214705Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T14:00:47.429000182Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=84.1 time=2026-04-08T14:00:46.672Z
2026-04-08T14:01:27.430706579Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:01:27.430711709Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:01:27.430716249Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:01:27.430720239Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:02:17.434067116Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=400 px=84.11
2026-04-08T14:03:07.536033298Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:03:07.536039238Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=84.07 ema8=84.18688526648994 ema18=84.30676260951115 ema50=84.43059461705737 rsi=40.940447544057086 atr=0.2261176935977105 atrPct=0.2689635941450107 adx=19.70892768886922 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=1 priceDropPct=0.0237953599048138 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T14:03:07.536045258Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T14:03:07.536050158Z [inf]  🔎 SETUPCHK localLow=84.0300 ema50=84.4306 washout=0 reclaimed=0 rsiUp=1
2026-04-08T14:03:07.536054828Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T14:03:47.209262143Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.92 time=2026-04-08T14:03:46.692Z
2026-04-08T14:04:27.213533597Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:04:27.213538507Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:04:27.213542467Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:04:27.213545926Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:06:07.262002364Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:06:07.262006264Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.88 ema8=84.11868854060329 ema18=84.26184022956261 ema50=84.40900267129041 rsi=36.62028899120541 atr=0.2306807154835877 atrPct=0.2750127747777631 adx=20.908430956359403 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.2260021410729127 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T14:06:07.262011244Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T14:06:07.262015664Z [inf]  🔎 SETUPCHK localLow=83.8800 ema50=84.4090 washout=1 reclaimed=0 rsiUp=0
2026-04-08T14:06:07.262019494Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T14:06:47.267052103Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.9 time=2026-04-08T14:06:46.692Z
2026-04-08T14:07:27.351508906Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:07:27.351512806Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:07:27.351516246Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:07:27.351519476Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:09:07.066064526Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:09:07.066070206Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.65 ema8=84.01453553158034 ema18=84.19743599487181 ema50=84.37923786065157 rsi=32.191838454300736 atr=0.2392035215204739 atrPct=0.2859575869939915 adx=22.60541231709895 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.2742012398664637 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T14:09:07.066075946Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T14:09:07.066081526Z [inf]  🔎 SETUPCHK localLow=83.6500 ema50=84.3792 washout=1 reclaimed=0 rsiUp=0
2026-04-08T14:09:07.066086396Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T14:10:08.383956953Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.46 time=2026-04-08T14:10:05.890Z
2026-04-08T14:10:27.084387261Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:10:27.084389900Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:10:27.084393130Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:10:27.084396250Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:12:07.287838105Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T14:12:07.287878394Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:12:07.287882314Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.74 ema8=83.9535276356736 ema18=84.14928483751689 ema50=84.35416970925347 rsi=35.479788208429696 atr=0.2456889842690114 atrPct=0.2933950134571428 adx=24.61686556551777 oiTrend=1 oiDeltaBias=1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.1075911536162453 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T14:12:07.287886674Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T14:12:07.287891294Z [inf]  🔎 SETUPCHK localLow=83.6500 ema50=84.3542 washout=1 reclaimed=0 rsiUp=1
2026-04-08T14:13:16.933575153Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.79 time=2026-04-08T14:13:16.692Z
2026-04-08T14:13:22.743543531Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:13:23.587843671Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:13:23.587849871Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:13:23.587855091Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:14:53.311138474Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=450 px=83.91
2026-04-08T14:15:13.781287577Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:15:13.781297047Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.88 ema8=83.93718816107946 ema18=84.12093906514669 ema50=84.33557481869451 rsi=40.32699265194842 atr=0.2495683425355104 atrPct=0.2975302128463405 adx=24.88405787133072 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.1671841413900174 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T14:15:13.781303497Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T14:15:13.781309167Z [inf]  🔎 SETUPCHK localLow=83.6500 ema50=84.3356 washout=1 reclaimed=0 rsiUp=1
2026-04-08T14:15:13.781314407Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T14:16:23.317103615Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.87 time=2026-04-08T14:16:17.035Z
2026-04-08T14:16:23.317107145Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:16:23.317110025Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:16:23.317112615Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:16:23.317127185Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:18:03.648677310Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:18:03.648680950Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.85 ema8=83.9178130141729 ema18=84.0924191635523 ema50=84.31653266894179 rsi=39.639758932225384 atr=0.2410277466401164 atrPct=0.2874510991533887 adx=25.13216501244275 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=-0.03576537911302 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=0
2026-04-08T14:18:03.648685000Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T14:18:03.648688419Z [inf]  🔎 SETUPCHK localLow=83.6500 ema50=84.3165 washout=1 reclaimed=0 rsiUp=0
2026-04-08T14:18:03.648692269Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=0
2026-04-08T14:19:23.373402067Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:19:23.373405927Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:19:23.373408807Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:19:23.373411687Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:19:31.697901377Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.58 time=2026-04-08T14:19:31.695Z
2026-04-08T14:20:11.689810335Z [inf]  📩 WEBHOOK src=fwo_buy signal=sniper_buy symbol=BINANCE:SOLUSDT
2026-04-08T14:20:11.689814225Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.57 ema8=null ema18=null ema50=null rsi=null atr=null atrPct=null adx=null oiTrend=0 oiDeltaBias=0 cvdTrend=0 liqClusterBelow=0 priceDropPct=0 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=1
2026-04-08T14:20:11.689818195Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=range conf=0.4
2026-04-08T14:20:11.689822025Z [inf]  📌 STATE BINANCE:SOLUSDT reg=range armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=1
2026-04-08T14:21:11.701389706Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:21:11.701392796Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.59 ema8=83.84496567769004 ema18=84.03953293580994 ema50=84.28804119172838 rsi=34.200088041276956 atr=0.2445257647372514 atrPct=0.2925299255141182 adx=26.16569662432542 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=-0.3100775193798341 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=1
2026-04-08T14:21:11.701395696Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T14:21:11.701399576Z [inf]  🔎 SETUPCHK localLow=83.5700 ema50=84.2880 washout=1 reclaimed=0 rsiUp=1
2026-04-08T14:21:11.701402436Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=1
2026-04-08T14:22:31.920309192Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:22:31.920314032Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:22:31.920319172Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:22:31.920323911Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:22:32.021253062Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.64 time=2026-04-08T14:22:32.018Z
2026-04-08T14:24:12.076902193Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:24:12.076902383Z [inf]  🔎 SETUPCHK localLow=83.4600 ema50=84.2556 washout=1 reclaimed=0 rsiUp=0
2026-04-08T14:24:12.076910193Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.46 ema8=83.75941774931448 ema18=83.97852946888258 ema50=84.25556898813119 rsi=31.84686549033789 atr=0.2420596386845912 atrPct=0.2900307197275236 adx=27.403339118324702 oiTrend=0 oiDeltaBias=-1 cvdTrend=1 liqClusterBelow=0 priceDropPct=-0.1555209953343817 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=1
2026-04-08T14:24:12.076914113Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=1
2026-04-08T14:24:12.076922133Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T14:25:31.733806020Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:25:31.733812720Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:25:31.733816920Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:25:31.733822220Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:25:51.731232018Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.55 time=2026-04-08T14:25:46.757Z
2026-04-08T14:27:11.757340447Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:27:11.757344757Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.57 ema8=83.71732491613348 ema18=83.93552636689495 ema50=84.2286839297731 rsi=35.86796494760051 atr=0.2433410930642626 atrPct=0.2911823537923449 adx=28.836572686064024 oiTrend=0 oiDeltaBias=0 cvdTrend=1 liqClusterBelow=0 priceDropPct=0.1317996645099442 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=1
2026-04-08T14:27:11.757349117Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T14:27:11.757353336Z [inf]  🔎 SETUPCHK localLow=83.4600 ema50=84.2287 washout=1 reclaimed=0 rsiUp=1
2026-04-08T14:27:11.757357296Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=1
2026-04-08T14:27:16.710907920Z [inf]  🟦 LIVE TICKS BINANCE:SOLUSDT count=500 px=83.54
2026-04-08T14:28:26.320367962Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:28:26.320371482Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:28:26.320374752Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:28:26.320379282Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:28:56.324708306Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.52 time=2026-04-08T14:28:46.867Z
2026-04-08T14:30:16.357781609Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:30:16.357789139Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=83.46 ema8=83.66014160143715 ema18=83.88547095985338 ema50=84.19853946193886 rsi=33.72509021618038 atr=0.2352453007025302 atrPct=0.2818659246375871 adx=30.16743242753625 oiTrend=0 oiDeltaBias=-1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.13162618164413 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=1
2026-04-08T14:30:16.357792539Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T14:30:16.357796008Z [inf]  🔎 SETUPCHK localLow=83.4600 ema50=84.1985 washout=1 reclaimed=0 rsiUp=0
2026-04-08T14:30:16.357799408Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=1
2026-04-08T14:31:26.440624431Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:31:26.440627491Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:31:26.440630191Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:31:26.440632740Z [inf]  ⚠️ POSITION SYNC failed symbol=BINANCE:SOLUSDT err=401 body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
2026-04-08T14:32:06.088516573Z [inf]  🟦 TICK(3m) BINANCE:SOLUSDT price=83.23 time=2026-04-08T14:32:03.332Z
2026-04-08T14:33:06.117725000Z [inf]  📩 WEBHOOK src=features signal= symbol=BINANCE:SOLUSDT
2026-04-08T14:33:06.117730790Z [inf]  🟩 FEAT rx BINANCE:SOLUSDT close=82.96 ema8=83.50455457889555 ema18=83.78805296407934 ema50=84.14996928696087 rsi=26.09391679965887 atr=0.2620134935094923 atrPct=0.3158311156093206 adx=32.383446350175724 oiTrend=1 oiDeltaBias=1 cvdTrend=-1 liqClusterBelow=0 priceDropPct=-0.5990893841361131 patternAReady=0 patternAWatch=0 rayFresh=0 fwoFresh=1
2026-04-08T14:33:06.117734490Z [inf]  🧭 REGIME BINANCE:SOLUSDT mode=trend conf=0.6
2026-04-08T14:33:06.117737120Z [inf]  🔎 SETUPCHK localLow=82.9600 ema50=84.1500 washout=1 reclaimed=0 rsiUp=0
2026-04-08T14:33:06.117739600Z [inf]  📌 STATE BINANCE:SOLUSDT reg=trend armed=0 type= setupAgeMin=0 score=0 inPos=0 cooldown=0 rayFresh=0 fwoFresh=1
2026-04-08T14:34:26.332802740Z [inf]  🔄 POSITION SYNC start symbol=BINANCE:SOLUSDT reason=interval
2026-04-08T14:34:26.332806150Z [inf]  🔄 3C API GET /v2/smart_trades status=401
2026-04-08T14:34:26.332809549Z [inf]  🔄 3C API body={"error":"api_key_invalid_or_expired","error_description":"Unauthorized. Invalid or expired api key."}
